policy_id	display_name	excludeGroups	includeGroups	excludeRoles	authenticationStrength_id	state	goal
0ab1380f-3863-40a5-ab97-24250e1cf44e	IAC - AGENT - BLOCK - HighRiskAgent					enabledForReportingButNotEnforced	
1d8beea4-2ea1-4758-8e22-d6310a60220a	IAC - AGENT - BLOCK - NonTrustedAgents					enabledForReportingButNotEnforced	
1f960ec9-885f-4032-a6b2-a5c559279274	IAC - APP - BLOCK - SharePoint-OneDrive-NonTrustedLocations	62d67e66-2bc9-43cd-b00c-6326dae53d18;e663a7ce-daec-4062-88b8-5970bfec8019;9ee031a3-3551-4bc3-a81d-d6f0149ae329;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
1d3a7677-a723-4c56-924c-2e1dc63df105	IAC - APP - inforcer - RequireMFA	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
	IAC - APP - SESSION - IntuneEnrollment-SIFEveryTime	CA-GlobalExclusions-GroupID-ReplaceMe				enabledForReportingButNotEnforced	
9bc2ad69-4aed-4242-807d-788446196b8b	IAC - APP – BLOCK – AVD - Exclude - AllowedAVDUsers	9ee031a3-3551-4bc3-a81d-d6f0149ae329;902993ed-96f7-4af6-825c-510dfc97b258;62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
b13dd393-f644-45c8-81bf-aa7f4032ebd3	IAC - APP – BLOCK – AVD - NonTrustedLocations	9ee031a3-3551-4bc3-a81d-d6f0149ae329;62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	
fa005ec2-4940-49c8-b4e7-b58e66ef481c	IAC - GLOBAL - BLOCK - Authentication Transfer	62d67e66-2bc9-43cd-b00c-6326dae53d18;e663a7ce-daec-4062-88b8-5970bfec8019;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	block-auth-transfer
8b42eda3-6917-4ab4-afb2-e32c37520f9b	IAC - GLOBAL - BLOCK - Device Code Auth Flow	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabled	block-device-code
9e21fa64-8d9a-4e62-81da-9abce8859a0c	IAC - GLOBAL - BLOCK - Unsupported Device Platforms	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabled	block-unsupported-platforms
1588fdc7-f34a-468e-8023-4d788ef5d226	IAC - GLOBAL - GRANT - BreakGlass - TrustedLocations				42de22a7-5339-4a58-b560-28565d53b14d	enabledForReportingButNotEnforced	
f893f39f-2ab3-4f1e-a8e1-9a2b9589a9ce	IAC - GLOBAL - GRANT - MFA - AllAdmins	62d67e66-2bc9-43cd-b00c-6326dae53d18;b63c3682-06c6-45f0-9692-ee76b604b4f9			42de22a7-5339-4a58-b560-28565d53b14d	enabled	admins-phishing-resistant
a66e8427-e5e7-4072-bfd1-7e99db7a7dc4	IAC - GLOBAL - GRANT - MFA - AllUsers	62d67e66-2bc9-43cd-b00c-6326dae53d18;e663a7ce-daec-4062-88b8-5970bfec8019;b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	mfa-all-users
f25f94e0-98b6-41be-b9d6-68cb781004a4	IAC - GLOBAL - GRANT - MFA - B2B-Guest	b63c3682-06c6-45f0-9692-ee76b604b4f9			42de22a7-5339-4a58-b560-28565d53b14d	enabledForReportingButNotEnforced	guests-mfa
e0fabad3-bd0f-42e4-a901-51ef7ab8889c	IAC - GLOBAL - GRANT - MFA - Mixed-Guests	b63c3682-06c6-45f0-9692-ee76b604b4f9				enabledForReportingButNotEnforced	guests-mfa
